Wed Jan 15 14:31:50 2025    profiling-output

         709733 function calls (690256 primitive calls) in 6.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      261    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:824(<genexpr>)
      495    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1417(_all_strings)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:254(__set_name__)
  217/180    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.003    0.003 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/requests/packages.py:1(<module>)
      779    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      730    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1204    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       54    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
      500    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      120    0.000    0.000    0.002    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       49    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       84    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:798(parse_combinator)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:2780(__new__)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       43    0.000    0.000    0.230    0.005 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/urllib3/response.py:1173(read_chunked)
       99    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1551(__or__)
      229    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:273(get_text)
      136    0.000    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:203(__init__)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      325    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      179    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
  164/161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      307    0.000    0.000    0.128    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/locale.py:1(<module>)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
