Wed Jan 15 14:32:11 2025    profiling-output

         709732 function calls (690255 primitive calls) in 2.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52/14    0.001    0.000    0.018    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:911(parse_selectors)
      126    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
      388    0.001    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
     2771    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3010    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      194    0.001    0.000    0.124    0.001 /usr/lib/python3.12/re/_compiler.py:740(compile)
     1376    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:172(__setitem__)
      899    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
    217/3    0.001    0.000    0.295    0.098 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      808    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
       10    0.001    0.000    0.005    0.001 /usr/lib/python3.12/enum.py:919(_convert_)
       43    0.001    0.000    0.007    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/urllib3/response.py:122(decompress)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     6626    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
     2481    0.001    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:307(match)
       77    0.001    0.000    0.006    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:462(parse_attribute_selector)
      192    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1461    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
    192/3    0.001    0.000    0.295    0.098 <frozen importlib._bootstrap>:911(_load_unlocked)
     3115    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2503    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      328    0.001    0.000    1.266    0.004 /usr/lib/python3.12/ssl.py:1237(recv_into)
      194    0.001    0.000    0.076    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
      926    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      165    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.001    0.001    1.766    1.766 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex04/financial.py:14(fetch_financial_data)
      156    0.001    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
     2334    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     2563    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      195    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2334    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
    443/7    0.001    0.000    0.294    0.042 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/idna/idnadata.py:1(<module>)
     2671    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
      261    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:824(<genexpr>)
      164    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1015    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
     2670    0.001    0.000    0.001    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       19    0.000    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1941    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       16    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      328    0.000    0.000    1.267    0.004 /usr/lib/python3.12/socket.py:693(readinto)
     2523    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
     1111    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1901    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
      259    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
  136/131    0.000    0.000    0.004    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:385(freeze)
    163/3    0.000    0.000    0.295    0.098 <frozen importlib._bootstrap_external>:989(exec_module)
      353    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      495    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1417(_all_strings)
      136    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:359(__init__)
      349    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/entities.py:1(<module>)
